headline,url
Die Schweiz sagt deutlich Nein zur Umweltverantwortungs-Initiative,https://www.20min.ch/story/69-prozent-nein-stimmen-die-schweiz-sagt-deutlich-nein-zur-umweltverantwortungs-initiative-103276104
Klares Ja zur Solarpflicht für Neubauten im Kanton Bern,https://www.20min.ch/story/regionale-vorlagen-loehne-feuerwerk-stimmrechtsalter-darueber-wird-heute-abgestimmt-103275471
So hat deine Gemeinde abgestimmt,https://www.20min.ch/story/abstimmung-umweltverantwortungsinitiative-so-hat-deine-gemeinde-abgestimmt-103276225
Umweltverantwortungs-Initiative: Das musst du zur Abstimmung wissen,https://www.20min.ch/story/abstimmung-umweltverantwortungs-initiative-das-musst-du-zur-abstimmung-wissen-103276164
Wie hast du abgestimmt und welche Noten gibst du dem Bundesrat?,https://www.20min.ch/story/umfrage-umweltverantwortungs-initiative-wie-hast-du-abgestimmt-103269850
