headline,url
Votations: Genève dit oui au solaire,https://www.20min.ch/fr/story/geneve-votations-geneve-dit-oui-au-solaire-103347110
Certains Afghans pourront être renvoyés de Suisse dès mi-avril,https://www.20min.ch/fr/story/suisse-certains-afghans-pourront-etre-renvoyes-de-suisse-des-mi-avril-103307053
Le National a rejeté l'initiative «Pour un service citoyen»,https://www.20min.ch/fr/story/parlement-le-national-met-une-gifle-a-l-initiative-pour-un-service-citoyen-103305846
L'initiative pour taxer l'héritage des «ultrariches» balayée,https://www.20min.ch/fr/story/conseil-national-l-initiative-pour-taxer-l-heritage-des-ultra-riches-balayee-103305577
Parlement: «Le PLR en a assez de cette chasse aux riches!»,https://www.20min.ch/fr/story/impot-sur-l-heritage-parlement-le-plr-en-a-assez-de-cette-chasse-aux-riches-103295914
